A,B,DISTANCE,CAPACITY,NUM_LANES,FTYPE,FFSPEED,ALPHA,BETA,TOLL_SEGNUM,TOLL_POLICY,TOLL_TYPE,TOLL,TOLLSEG_LEN,DIR1,DIR2,DIR3,DIR4,AM_TIME,MD_TIME,PM_TIME,EV_TIME,EA_TIME,AM_VC,MD_VC,PM_VC,EV_VC,EA_VC,AM_TOLL,MD_TOLL,PM_TOLL,EV_TOLL,EA_TOLL,AM_SOV,MD_SOV,PM_SOV,EV_SOV,EA_SOV,AM_HV2,MD_HV2,PM_HV2,EV_HV2,EA_HV2,AM_HV3,MD_HV3,PM_HV3,EV_HV3,EA_HV3,AM_TRK,MD_TRK,PM_TRK,EV_TRK,EA_TRK,TRK
100281,100240,0.0081,1800,2,95,73.6,0.75,4,0,0,2,0,0,0,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100282,100287,1.3969,1800,2,96,75.7,0.75,4,0,0,1,0,0,0,1,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100282,100300,0.0217,1650,1,98,70.1,0.75,4,0,0,0,0,0,0,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100283,100065,1.1511,1800,2,96,75.7,0.75,4,0,0,1,0,0,1,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100286,100283,1.3971,1800,2,96,75.7,0.75,4,0,0,1,0,0,1,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100286,100301,0.0335,1650,1,98,70.1,0.75,4,0,0,0,0,0,0,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100287,100303,2.9024,1800,2,96,75.7,0.75,4,0,0,1,0,0,0,1,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100290,29048,0.1249,2108,3,91,60.3,0.75,4,0,0,0,0,0,1,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100290,100279,0.0347,1650,1,97,66.8,0.75,4,0,0,0,0,0,0,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100291,28923,0.3207,2108,3,91,60.3,0.75,4,0,0,0,0,0,0,1,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100292,17055,0.1096,2108,3,91,68.2,0.75,4,0,0,0,0,0,0,1,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100293,17041,2.2792,2108,3,91,67.7,0.75,4,0,0,0,0,0,1,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100293,100057,0.0192,1650,1,97,70.1,0.75,4,0,0,0,0,0,0,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100295,13453,0.1496,2108,3,91,67.7,0.75,4,0,0,0,0,0,1,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100296,17059,0.3699,2108,3,91,68.2,0.75,4,0,0,0,0,0,0,1,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100296,100062,0.0126,1650,1,97,70.1,0.75,4,0,0,0,0,0,0,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100299,18021,0.8439,2108,3,91,68.8,0.75,4,0,0,0,0,0,1,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
