N,X,Y,DTA_Type,SEGNUM,Prohibit_Links,Time_Coef,Cost_Coef
12088,949072.761700,912351.239400,0,    0,                                                  ,0,0
12089,940158.027600,924532.655500,0,    0,                                                  ,0,0
12093,939743.687500,908086.437500,0,    0,                                                  ,0,0
12097,939744.375000,907901.187500,0,    0,                                                  ,0,0
12101,939778.625000,907903.812500,0,    0,                                                  ,0,0
12105,939783.500000,908082.000000,0,    0,                                                  ,0,0
12112,959353.143700,863438.362800,0,    0,                                                  ,0,0
12116,958362.125000,863757.750000,0,    0,                                                  ,0,0
12118,958362.125000,862488.375000,0,    0,                                                  ,0,0
12123,860103.000000,954346.000000,0,    0,                                                  ,0,0
12129,924341.000000,830952.000000,0,    0,                                                  ,0,0
12133,923608.000000,830931.000000,0,    0,                                                  ,0,0
12141,930587.386700,856909.494800,0,    0,                                                  ,0,0
12145,930614.506000,856877.444800,0,    0,                                                  ,0,0
12147,888145.000000,955201.000000,0,    0,                                                  ,0,0
12148,957953.625000,864018.000000,0,    0,                                                  ,0,0
12153,920745.000000,740235.000000,0,    0,                                                  ,0,0
12154,958153.250000,863163.125000,0,    0,                                                  ,0,0
12157,925165.000000,740264.000000,0,    0,                                                  ,0,0
12165,926206.000000,825523.000000,90,   18,                                                  ,-0.1170,-0.8259
12169,926258.163300,825527.555600,91,    0,                                                  ,0,0
12171,909150.812500,954371.437500,0,    0,                                                  ,0,0
12176,953238.312500,750986.750000,0,    0,                                                  ,0,0
12177,872090.000000,855013.000000,0,    0,                                                  ,0,0
12182,953423.250000,750112.312500,0,    0,                                                  ,0,0
12189,890036.000000,854526.000000,0,    0,                                                  ,0,0
12196,954061.212100,766543.151800,0,    0,                                                  ,0,0
12198,945327.187500,740838.250000,0,    0,                                                  ,0,0
12200,944892.250000,740353.625000,0,    0,                                                  ,0,0
12216,944798.375000,740663.562500,0,    0,                                                  ,0,0
12221,927675.000000,737850.000000,0,    0,                                                  ,0,0
12225,927725.000000,736145.000000,0,    0,                                                  ,0,0
12230,945669.875000,740369.875000,0,    0,                                                  ,0,0
12232,959913.625000,853655.187500,0,    0,                                                  ,0,0
12234,960029.937500,853673.125000,0,    0,                                                  ,0,0
12236,960029.937500,856544.437500,0,    0,                                                  ,0,0
12237,905341.000000,854065.000000,0,    0,                                                  ,0,0
12238,959743.687500,855417.375000,0,    0,                                                  ,0,0
12239,867353.000000,949023.000000,0,    0,                                                  ,0,0
12240,960975.000000,858046.437500,0,    0,                                                  ,0,0
12242,957459.125000,855989.250000,0,    0,                                                  ,0,0
12243,888214.000000,949049.000000,0,    0,                                                  ,0,0
12244,959681.312500,856821.187500,0,    0,                                                  ,0,0
12246,960269.500000,855028.437500,0,    0,                                                  ,0,0
12247,879909.000000,949057.000000,0,    0,                                                  ,0,0
