N,X,Y,DTA_Type,SEGNUM,Prohibit_Links,Time_Coef,Cost_Coef,VCOST
13118,788518.3125,869789.75,0,0,0,-0.117,-0.584,0
13122,764875.375,869615.3125,0,0,0,-0.117,-0.584,0
13126,769966.9375,869802.1875,0,0,0,-0.117,-0.584,0
13127,947921,910060,0,0,0,-0.117,-0.584,0
13162,764629.375,855080,0,0,0,-0.117,-0.584,0
13167,922967,908087,0,0,0,-0.117,-0.584,0
13214,764624.3125,859115.125,0,0,0,-0.117,-0.584,0
13232,764627.5625,853818.75,0,0,0,-0.117,-0.584,0
13234,763805.125,852358.0625,0,0,0,-0.117,-0.584,0
13242,758404.75,847084.75,0,0,0,-0.117,-0.584,0
13244,756850.625,847179.875,0,0,0,-0.117,-0.584,0
13248,750851.9375,847235.3125,0,0,0,-0.117,-0.584,0
13249,936619,853227,0,0,0,-0.117,-0.584,0
13250,776214.8125,919694,0,0,0,-0.117,-0.584,0
13269,928054,853456,0,0,0,-0.117,-0.584,0
13270,783328.75,954272.25,0,0,0,-0.117,-0.584,0
13315,932496,901110,0,0,0,-0.117,-0.584,0
13327,941044,900881,0,0,0,-0.117,-0.584,0
13331,943962,900805,0,0,0,-0.117,-0.584,0
